handle,name,account_type,languages,primary_topic,primary_topics,seed_tier,status,institution_kind,risk_flags,source_url,verified_at
aantonop,Andreas Antonopoulos,person,en,bitcoin,bitcoin,core,approved,,live_validation_required,https://x.com/aantonop,
adam3us,Adam Back,person,en,bitcoin,bitcoin,core,approved,,live_validation_required,https://x.com/adam3us,
LynAldenContact,Lyn Alden,person,en,bitcoin,bitcoin,core,approved,,live_validation_required,https://x.com/LynAldenContact,
lopp,Jameson Lopp,person,en,bitcoin,bitcoin,core,approved,,live_validation_required,https://x.com/lopp,
gladstein,Alex Gladstein,person,en,bitcoin,bitcoin,core,approved,,live_validation_required,https://x.com/gladstein,
BTCTW0,比特TWO,person,zh,bitcoin,bitcoin,core,approved,,live_validation_required,https://x.com/BTCTW0,
DoveyWan,Dovey Wan,person,zh|en,bitcoin,bitcoin,core,approved,,live_validation_required,https://x.com/DoveyWan,
VitalikButerin,Vitalik Buterin,person,en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/VitalikButerin,
sassal0x,Sassal,person,en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/sassal0x,
jessepollak,Jesse Pollak,person,en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/jessepollak,
TimBeiko,Tim Beiko,person,en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/TimBeiko,
dankrad,Dankrad Feist,person,en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/dankrad,
trent_vanepps,Trent Van Epps,person,en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/trent_vanepps,
hasufl,Hasu,person,en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/hasufl,
tmel0211,Haotian,person,zh|en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/tmel0211,
0xTodd,Todd,person,zh|en,ethereum_l2,ethereum_l2,core,approved,,live_validation_required,https://x.com/0xTodd,
aeyakovenko,Anatoly Yakovenko,person,en,solana,solana,core,approved,,live_validation_required,https://x.com/aeyakovenko,
